Year,Australia,Austria,Belgium,Canada,Switzerland,Chile,Colombia,Costa Rica,Germany,Denmark,Spain,Estonia,Finland,France,United Kingdom,Greece,Hungary,Ireland,Iceland,Israel,Italy,Japan,Lithuania,Luxembourg,Latvia,Mexico,Netherlands,Norway,New Zealand,Poland,Portugal,Slovenia,Sweden,United States,OECD members
1980,26.87536215,26.24901502,22.42941347,24.87722764,31.90901392,16.86063065,19.68951258,16.23359377,20.75128882,19.69404303,21.09042441,,30.42186572,24.87192559,14.02991974,23.15951006,,11.33060723,28.6085723,16.93229531,24.42256146,34.23539661,,28.44986556,,28.83926685,25.03792166,34.31266279,20.85028647,,20.2946315,,23.98283841,22.85333708,24.17783428
1981,26.18403781,24.81873082,19.63383447,25.86179749,31.95395452,11.81509,17.05707108,24.11882517,19.65200911,18.49741112,19.67552212,,29.8494522,22.60795119,13.20065258,20.49059943,,11.1415403,26.90741726,14.08479736,23.03571691,34.6110695,,25.72779257,,28.79792284,26.21454576,34.97217907,23.26104746,,17.65142878,,22.66692005,23.88647354,24.33762969
1982,26.19185716,24.24727213,19.16458902,23.4194873,31.64252802,9.050556611,16.20903873,27.60511962,20.05234156,19.25319257,19.82100583,,28.76004861,21.80306009,13.30807899,20.61191129,,17.61271938,24.95193168,16.53628514,22.78939203,33.39076895,,27.29389109,,32.1746302,25.66097269,33.81858653,22.75604316,,17.91111329,,22.02579531,21.47273647,23.14798219
1983,22.28346374,23.03222989,18.97983063,23.11210588,30.49307294,13.99674932,17.11242816,23.43613221,20.19540026,20.65235647,20.01423493,,28.61153008,21.90980033,13.42255442,18.7288588,,18.2312343,24.81380673,17.85639645,23.11863182,32.96181704,,28.61139507,,33.58773596,25.51326717,34.16448537,24.96147503,,17.79910768,,24.26064078,20.83192306,22.91108471
1984,24.86698207,24.08019987,20.15375727,24.22476006,31.86780831,16.80742271,18.38580464,23.109927,20.59657112,22.35628875,21.6653513,,29.25414468,21.82231385,13.63443331,20.72547464,,19.73832298,24.76124899,18.47726877,23.24137439,33.71882191,,30.41876553,,31.07304716,27.92433326,36.27049909,25.34162977,,16.66416949,,26.45057035,22.55156698,24.09746625
1985,25.83661355,23.97699132,19.89303397,23.82531343,32.40292841,20.18290863,20.32335438,24.13624104,21.28805113,22.94746099,21.66777682,,28.21124946,21.22008321,14.70344996,21.02730389,,19.11619547,22.61980371,17.88167923,23.1163482,34.35379396,,29.34043203,,30.31400126,27.24861439,34.71964893,23.79531182,,18.9329995,,26.3662816,21.56057911,23.84756316
1986,24.68346909,24.56108958,20.89789988,22.43206806,32.72615742,21.94352554,24.84501962,26.05551236,22.86730991,23.65928344,22.64799355,,27.89744081,22.07244433,12.77050335,21.3046425,,18.55503234,23.9328733,18.85790015,23.41582694,34.76149118,,32.7929226,,25.39021931,27.71608794,29.50686702,25.61040843,,21.87078203,,26.3136406,20.86115672,24.09491788
1987,24.27976785,24.70573818,21.39188766,23.49948462,32.79867446,25.11317997,24.03127779,22.98731889,22.23618207,24.08620893,22.13871854,,27.52238012,21.55226548,14.16001404,16.65758884,,20.32381409,21.36639451,15.44290362,22.92379808,34.77572715,,31.12199138,,29.05351478,26.41350577,29.28092818,24.96320599,,22.80880032,,26.00924132,20.63848872,24.07549107
1988,26.61299764,25.45345946,24.0553809,24.41018737,33.80995439,29.72654561,24.4192739,22.67940898,22.96975855,24.53402561,23.06977041,,29.58453376,22.98508627,14.54690279,18.35292094,,22.04633444,21.63660973,17.51699439,22.99749912,35.97131965,,33.4113174,,23.30908973,27.91546661,29.79698351,24.37229993,,22.45220062,,26.75250113,20.738735,24.91913257
1989,28.19349408,26.10421308,25.33274811,23.77307807,34.51965411,29.7804556,24.15925913,22.70534645,23.83354914,25.12281184,22.29154913,,30.31231077,23.85831091,15.59420524,16.47200216,,23.69382366,22.7278373,18.56286191,22.68313366,36.18835317,,36.4564601,,22.32899267,29.10987872,30.86972719,23.52314989,,22.50711485,,27.75565331,20.97628678,25.09987634
1990,27.6748628,26.38111497,25.5875054,21.54015595,35.12721198,28.38218447,23.55425822,20.4182134,24.99900367,26.34995,22.4327658,,29.07743723,23.80778731,14.92534316,15.09887283,,25.57843412,21.9685828,19.1497361,23.13557862,36.21605779,,36.27197629,,21.60246235,29.43279455,30.83464802,21.33408646,,21.06347394,36.73775696,27.14993121,20.223627,24.68192351
1991,24.68338582,26.68946096,24.34814133,18.70262891,33.12234084,27.0238565,23.76462356,13.77440558,25.72156496,25.82051265,21.81907864,,22.92292292,23.45574064,13.36167006,16.13634776,20.09357969,24.21185578,20.51156589,21.31121694,22.77311612,36.68458824,,36.79636694,,20.08782369,28.88492313,29.90252972,21.20657654,,18.37866525,33.94310029,24.66170073,19.6459509,24.43764518
1992,22.0969571,25.66415189,24.89604092,17.85294724,31.54639757,25.1733865,19.98001951,14.9007891,25.1324939,25.82788159,20.24010899,,21.72292595,22.73315427,11.79934957,14.96273035,16.44450529,24.0137851,19.75501502,23.03717967,21.99203555,35.55573098,,37.84914564,,18.15622233,28.54949239,28.11658691,21.84974788,,17.38783851,32.49772453,23.13007512,19.54480197,23.80726396
1993,22.89945051,24.91729121,25.04447404,18.4637441,31.53915208,24.05935449,19.13365224,13.75091179,24.16202898,24.88682829,19.77650649,21.54409142,22.74383834,21.20203701,11.62935481,13.99511695,12.41927539,25.76597898,21.76007683,21.64479209,22.6176853,33.87283354,,39.72186587,,20.3486053,28.21314258,28.29222786,25.01211942,,15.00110842,28.81677031,21.69459923,19.44336996,23.60583748
1994,24.01498445,25.10129828,25.58276935,20.73532903,32.29252745,25.41494734,19.61763297,14.54276525,24.6669786,24.64458732,20.58721644,18.3173382,24.96745582,21.77738481,12.04413778,14.68097211,16.35420949,26.13022427,22.82018403,21.3563169,22.81212043,32.52185633,,40.48865839,,20.78536088,28.64060464,28.87236665,25.61258278,,15.92880102,31.21913311,23.6945092,20.00991871,23.95305988
1995,24.03125164,25.71067976,25.64094768,22.51494371,31.85094011,27.61370144,19.36899879,16.02589408,24.83396757,25.35798647,21.42098253,19.51752807,27.08066711,22.1347478,19.2518592,13.35453143,23.13838659,30.37335592,21.64134006,21.30835182,24.23040241,32.17644865,11.83257715,39.86154085,11.18631112,23.15901918,28.88931982,30.14386308,25.52682988,22.01477564,17.81836922,23.01822228,26.45629743,20.09772834,24.7404036
1996,24.33583064,25.06478063,24.80275294,22.81521782,30.91135155,27.86135637,16.50575488,13.71730199,24.12115776,25.68734224,22.08444286,19.44225089,26.2225796,21.35551055,19.3555335,13.56586997,25.28240506,30.67555999,21.25122387,22.1608994,24.35375999,32.40455215,11.55948536,39.98231856,10.25897241,23.48703032,29.16565306,31.5641261,24.72675839,20.44961805,17.29547624,23.7659268,25.94133412,20.50802651,24.50792038
